rental_id,customer_id,movie_id,date_rented,date_watched,date_expires,rental_amount,credit_card_number,credit_card_type,customer_rating
128,142,176,2024-04-23,2024-04-27,2024-04-28,8.84,5271084940218049,MC,2
129,108,219,2024-07-09,2024-07-14,2024-07-15,7.00,4405000981956414,VS,3
130,36,818,2024-02-24,2024-02-28,2024-02-29,8.20,372217891490895,AX,4
131,498,320,2025-01-15,2025-01-16,2025-01-17,4.22,4759566730678172,VS,3
132,18,1116,2024-01-24,2024-01-29,2024-01-30,4.02,4955414888187591,VS,1
133,217,577,2024-12-02,2024-12-05,2024-12-06,7.03,375165853130387,AX,4
134,779,56,2024-04-08,2024-04-12,2024-04-13,6.30,347562962446915,AX,4
135,395,161,2025-05-08,2025-05-12,2025-05-13,5.23,5305370263115741,MC,3
136,876,500,2024-02-22,2024-02-25,2024-02-26,8.39,341109267909957,AX,4
137,370,735,2025-04-17,2025-04-22,2025-04-23,5.10,5350763473971914,MC,1
138,656,1188,2025-06-15,2025-06-19,2025-06-20,3.64,4521374017432907,VS,5
139,718,506,2024-02-12,2024-02-13,2024-02-14,5.84,4351533432835515,VS,2
140,134,558,2025-01-20,2025-01-26,2025-01-27,10.78,5115299041559138,MC,1
141,54,1072,2025-05-11,2025-05-12,2025-05-13,3.48,371765872475618,AX,4
142,613,194,2024-11-26,2024-11-27,2024-11-28,8.18,4017993619751490,VS,2
143,595,917,2024-11-04,2024-11-07,2024-11-08,7.03,4642057358543442,VS,3
144,229,110,2025-01-28,2025-01-31,2025-02-01,5.84,4227299672822592,VS,2
145,626,1125,2024-08-15,2024-08-21,2024-08-22,10.00,340589350712188,AX,1
146,682,717,2025-03-24,2025-03-30,2025-03-31,5.96,347873095228911,AX,1
147,879,32,2024-11-02,2024-11-04,2024-11-05,5.93,4546353437857150,VS,1
148,232,546,2024-08-27,2024-08-28,2024-08-29,4.44,5130796250092237,MC,2
149,789,726,2024-12-17,2024-12-18,2024-12-19,3.87,4627554739110757,VS,5
150,164,296,2024-07-12,2024-07-16,2024-07-17,4.54,5477132945061614,MC,2
151,124,335,2024-10-26,2024-10-29,2024-10-30,8.00,4763603353751251,VS,4
152,1046,849,2024-12-13,2024-12-17,2024-12-18,5.49,376908670211257,AX,4
153,211,300,2024-03-08,2024-03-09,2024-03-10,7.81,5314866945695093,MC,5
154,642,425,2025-05-10,2025-05-13,2025-05-14,11.06,373248728557040,AX,3
155,253,194,2025-04-19,2025-04-23,2025-04-24,5.14,4002112150422044,VS,3
156,195,929,2024-01-17,2024-01-21,2024-01-22,7.70,4439471138565746,VS,3
157,401,419,2024-06-27,2024-07-02,2024-07-03,3.84,4489218124102925,VS,4
158,286,891,2025-04-03,2025-04-07,2025-04-08,11.88,375944634637146,AX,1
159,1188,1002,2024-02-19,2024-02-25,2024-02-26,9.29,5146890123388477,MC,2
160,430,778,2024-12-02,2024-12-04,2024-12-05,8.02,5217252209445616,MC,2
161,177,576,2025-01-10,2025-01-12,2025-01-13,8.85,5583980354951052,MC,1
162,76,925,2024-12-31,2025-01-05,2025-01-06,7.41,4863511881944703,VS,2
163,407,988,2024-08-24,2024-08-27,2024-08-28,5.36,373868316903261,AX,2
164,1052,1016,2024-02-04,2024-02-07,2024-02-08,10.69,4522346474644338,VS,4
165,445,1128,2024-10-28,2024-11-03,2024-11-04,4.20,5118009256839258,MC,2
166,582,140,2024-08-08,2024-08-10,2024-08-11,9.51,4560205469721112,VS,4
167,481,86,2024-09-07,2024-09-13,2024-09-14,4.13,377484922452266,AX,4
168,715,35,2024-05-29,2024-06-02,2024-06-03,5.65,5568950037478446,MC,1
169,520,1132,2024-02-17,2024-02-22,2024-02-23,9.31,4933910525211979,VS,3
170,258,740,2025-05-12,2025-05-17,2025-05-18,9.04,373071517401252,AX,2
171,251,1058,2025-04-25,2025-04-29,2025-04-30,6.45,4650769631077153,VS,1
172,1146,722,2025-02-12,2025-02-18,2025-02-19,7.44,5252809301058921,MC,4
173,1033,1114,2024-08-31,2024-09-04,2024-09-05,4.15,376432640324014,AX,3
174,436,1119,2024-02-07,2024-02-12,2024-02-13,10.67,5105373678335290,MC,3
175,749,863,2025-02-11,2025-02-14,2025-02-15,3.96,343936405511603,AX,3
176,902,144,2024-12-07,2024-12-10,2024-12-11,10.58,4718201125018092,VS,3
177,222,305,2024-09-02,2024-09-05,2024-09-06,5.83,4445465959579313,VS,3
178,800,352,2024-06-15,2024-06-20,2024-06-21,6.82,370161914231435,AX,3
179,783,1011,2025-04-17,2025-04-19,2025-04-20,4.67,5551466861626288,MC,1
180,483,908,2025-01-10,2025-01-14,2025-01-15,11.09,4407890396081584,VS,3
181,631,1133,2025-03-24,2025-03-28,2025-03-29,5.98,5375839119188820,MC,3
182,1053,578,2025-04-20,2025-04-21,2025-04-22,7.84,5443577580151276,MC,4
183,319,913,2024-10-27,2024-10-29,2024-10-30,7.72,5522155532370653,MC,3
184,494,1047,2024-11-12,2024-11-16,2024-11-17,9.07,343014222589576,AX,1
185,997,162,2024-06-05,2024-06-07,2024-06-08,8.54,378688270892615,AX,4
186,697,1198,2025-05-07,2025-05-09,2025-05-10,3.18,4729209003497475,VS,5
187,1067,223,2024-10-22,2024-10-23,2024-10-24,5.35,5516320654776096,MC,2
188,502,392,2024-08-19,2024-08-25,2024-08-26,8.16,4404282796236369,VS,1
189,147,495,2025-02-06,2025-02-09,2025-02-10,6.41,348983894424454,AX,3
190,1166,622,2024-11-13,2024-11-15,2024-11-16,8.03,4502971600196695,VS,2
191,413,826,2025-03-06,2025-03-07,2025-03-08,10.36,370197457589211,AX,5
192,523,536,2024-07-27,2024-07-28,2024-07-29,8.27,373190445202058,AX,5
193,911,102,2024-12-20,2024-12-23,2024-12-24,10.40,340912574160215,AX,5
194,97,816,2025-04-24,2025-04-25,2025-04-26,6.17,377105580928479,AX,4
195,102,49,2024-12-07,2024-12-11,2024-12-12,6.64,5133472289674486,MC,1
196,133,157,2024-03-18,2024-03-21,2024-03-22,6.78,5150621818932489,MC,2
197,124,679,2025-05-30,2025-06-02,2025-06-03,5.39,5524730389671950,MC,4
198,452,1196,2024-11-05,2024-11-06,2024-11-07,8.53,5232214404931258,MC,1
199,159,609,2024-12-29,2025-01-02,2025-01-03,6.82,5212492832112655,MC,4
200,802,968,2024-02-02,2024-02-03,2024-02-04,4.72,379736019964552,AX,3
201,358,725,2024-05-07,2024-05-10,2024-05-11,8.15,378393748123491,AX,3
202,504,274,2025-06-11,2025-06-16,2025-06-17,8.08,4729467043062925,VS,2
203,32,434,2025-06-18,2025-06-20,2025-06-21,8.73,4890951799646308,VS,4
204,385,18,2024-06-21,2024-06-22,2024-06-23,6.86,348840566594313,AX,3
205,303,778,2024-07-20,2024-07-21,2024-07-22,5.54,5364936352385111,MC,1
206,29,588,2025-02-17,2025-02-19,2025-02-20,8.09,5292876018674963,MC,4
207,261,672,2025-04-21,2025-04-27,2025-04-28,7.13,376803078308142,AX,2
208,817,851,2024-03-07,2024-03-11,2024-03-12,6.83,5394957306194201,MC,3
209,467,93,2024-12-26,2024-12-30,2024-12-31,6.01,5391618458483712,MC,5
210,232,479,2024-08-05,2024-08-09,2024-08-10,6.71,371959878194717,AX,5
211,92,164,2024-08-02,2024-08-06,2024-08-07,10.74,5204818064464567,MC,1
212,376,475,2024-12-31,2025-01-02,2025-01-03,9.17,5228174558365573,MC,5
213,628,1137,2024-08-28,2024-08-30,2024-08-31,3.55,4650095091867063,VS,4
214,1089,983,2025-01-24,2025-01-25,2025-01-26,6.91,5114781486676068,MC,3
215,333,761,2024-10-28,2024-11-03,2024-11-04,6.21,5190332501722372,MC,1
216,1182,451,2024-01-17,2024-01-19,2024-01-20,7.46,341679868319329,AX,4
217,595,438,2024-08-09,2024-08-12,2024-08-13,5.54,4649459516799788,VS,1
218,217,261,2024-03-25,2024-03-28,2024-03-29,7.13,4931317355085273,VS,4
219,1171,967,2025-03-31,2025-04-03,2025-04-04,8.96,4482983812564853,VS,1
220,405,1147,2024-11-12,2024-11-15,2024-11-16,5.79,5378130580697833,MC,4
221,998,1060,2025-01-18,2025-01-19,2025-01-20,5.39,5403189589831339,MC,5
222,195,871,2024-05-16,2024-05-20,2024-05-21,7.18,4378026436363845,VS,2
223,293,1134,2024-05-20,2024-05-24,2024-05-25,4.10,4409277192468056,VS,1
224,185,426,2024-12-30,2024-12-31,2025-01-01,3.43,5137985400733488,MC,4
225,680,570,2025-05-07,2025-05-10,2025-05-11,9.18,5175263319497463,MC,3
226,730,603,2024-09-13,2024-09-15,2024-09-16,8.68,348874231902646,AX,2
227,510,499,2025-03-06,2025-03-12,2025-03-13,5.56,5260955834184373,MC,3
228,830,753,2024-08-26,2024-08-30,2024-08-31,9.30,370137398197900,AX,3
229,318,1014,2025-04-26,2025-05-01,2025-05-02,9.02,378360414700583,AX,3
230,282,61,2024-08-22,2024-08-23,2024-08-24,10.88,4737323625775355,VS,2
231,962,80,2024-07-25,2024-07-27,2024-07-28,5.34,5527047252334390,MC,1
232,996,612,2024-04-20,2024-04-26,2024-04-27,6.73,347109064882440,AX,5
233,383,1093,2024-01-24,2024-01-29,2024-01-30,10.02,5544467827983845,MC,4
234,1007,816,2024-04-03,2024-04-05,2024-04-06,6.52,375241516037061,AX,4
235,813,242,2025-03-06,2025-03-07,2025-03-08,9.94,346830983045369,AX,3
236,689,1165,2024-07-11,2024-07-15,2024-07-16,5.68,4342128167812988,VS,3
237,31,1025,2024-03-30,2024-04-01,2024-04-02,8.59,349993109835269,AX,1
238,464,765,2024-01-14,2024-01-18,2024-01-19,6.48,4362536564269611,VS,1
239,730,1030,2024-09-30,2024-10-02,2024-10-03,7.07,4853066250560000,VS,4
240,520,945,2025-01-26,2025-01-29,2025-01-30,4.83,379639187604716,AX,5
241,822,731,2024-03-02,2024-03-07,2024-03-08,3.93,372767951289617,AX,4
242,1015,1156,2024-05-12,2024-05-16,2024-05-17,6.89,5138909524730797,MC,3
243,355,511,2024-03-20,2024-03-22,2024-03-23,11.10,5195624872601027,MC,5
244,22,639,2024-05-20,2024-05-21,2024-05-22,9.03,378886722519725,AX,5
245,728,665,2025-02-02,2025-02-07,2025-02-08,4.24,4460204796744002,VS,1
246,882,663,2024-09-08,2024-09-12,2024-09-13,8.11,4926694304164153,VS,5
247,107,176,2024-02-18,2024-02-22,2024-02-23,5.28,372728603889062,AX,1
248,1081,99,2024-01-25,2024-01-28,2024-01-29,4.95,5514296158279648,MC,5
249,363,435,2024-10-07,2024-10-10,2024-10-11,9.57,5575071386686484,MC,2
250,772,765,2024-09-17,2024-09-18,2024-09-19,8.73,370962028732440,AX,4
251,1075,372,2024-01-23,2024-01-27,2024-01-28,9.06,372951393835804,AX,2
252,186,1171,2024-03-16,2024-03-21,2024-03-22,4.79,375012673165840,AX,2
253,157,535,2024-08-29,2024-09-03,2024-09-04,7.53,349744095686201,AX,1
254,615,707,2024-10-22,2024-10-26,2024-10-27,5.85,4542984321273506,VS,5
255,808,1091,2025-04-12,2025-04-15,2025-04-16,6.30,378858618783239,AX,3
256,1186,451,2024-01-26,2024-01-28,2024-01-29,5.23,4552816677144868,VS,4
257,767,272,2024-02-17,2024-02-23,2024-02-24,9.49,376431363928293,AX,5
258,294,223,2025-01-13,2025-01-16,2025-01-17,5.54,349124426016176,AX,3
259,96,1077,2024-12-03,2024-12-09,2024-12-10,5.19,5156780536991203,MC,2
260,753,844,2024-04-17,2024-04-22,2024-04-23,4.81,5352254013066879,MC,3
261,906,1033,2024-02-24,2024-02-28,2024-02-29,11.52,4003146733910340,VS,4
262,159,971,2025-02-25,2025-02-28,2025-03-01,7.03,5301723272718451,MC,4
263,310,464,2024-01-13,2024-01-17,2024-01-18,7.17,4475310078797081,VS,3
264,434,1106,2025-01-02,2025-01-05,2025-01-06,10.08,5177308418208769,MC,3
265,695,147,2024-05-24,2024-05-27,2024-05-28,4.19,375419430814521,AX,5
266,169,858,2025-03-26,2025-03-28,2025-03-29,6.96,371766657864045,AX,2
267,451,1014,2024-10-02,2024-10-07,2024-10-08,6.16,4124968624834393,VS,4
268,1031,544,2024-11-17,2024-11-21,2024-11-22,6.34,4175768564544717,VS,4
269,659,305,2025-04-04,2025-04-09,2025-04-10,4.25,5504249076435208,MC,3
270,645,142,2024-06-03,2024-06-06,2024-06-07,8.49,5239081573226853,MC,4
271,393,134,2024-09-27,2024-10-02,2024-10-03,6.26,4665612208583711,VS,1
272,104,204,2024-12-04,2024-12-09,2024-12-10,6.18,370004141868571,AX,5
273,196,323,2025-02-13,2025-02-17,2025-02-18,5.36,373274492950714,AX,3
274,642,1097,2024-04-20,2024-04-25,2024-04-26,6.49,4598448052839847,VS,1
275,953,457,2024-02-23,2024-02-25,2024-02-26,4.28,5337577076666115,MC,2
276,1014,785,2024-10-18,2024-10-24,2024-10-25,3.48,4241387367395111,VS,4
277,915,823,2024-03-10,2024-03-13,2024-03-14,3.24,5340522456885296,MC,1
278,678,1192,2025-04-20,2025-04-22,2025-04-23,5.39,5286997107532365,MC,1
279,374,919,2024-10-08,2024-10-14,2024-10-15,11.56,347456770708188,AX,2
280,462,1045,2025-03-06,2025-03-09,2025-03-10,4.56,5139206346046436,MC,2
281,463,178,2024-04-29,2024-05-05,2024-05-06,6.92,5563556166597342,MC,5
282,735,490,2025-04-25,2025-05-01,2025-05-02,8.63,4995705451900698,VS,5
283,252,138,2024-09-23,2024-09-27,2024-09-28,4.65,4522509237426810,VS,5
284,275,496,2024-06-01,2024-06-07,2024-06-08,5.45,349401204156782,AX,3
285,1009,1012,2024-11-03,2024-11-09,2024-11-10,6.46,344972396643886,AX,1
286,558,1107,2024-10-04,2024-10-08,2024-10-09,4.97,5361498612520276,MC,4
287,1040,945,2024-08-15,2024-08-19,2024-08-20,4.64,4248317239481238,VS,4
288,317,190,2024-04-20,2024-04-24,2024-04-25,6.97,4519429878076373,VS,1
289,296,341,2024-11-26,2024-11-30,2024-12-01,7.76,5340164795912266,MC,1
290,564,987,2024-06-13,2024-06-15,2024-06-16,4.07,5576281007163666,MC,3
291,375,951,2024-11-28,2024-11-30,2024-12-01,3.45,371103912444471,AX,4
292,118,1179,2025-01-07,2025-01-11,2025-01-12,3.55,4534095843210280,VS,1
293,718,4,2024-01-21,2024-01-25,2024-01-26,5.94,5359261500869899,MC,4
294,682,280,2024-04-25,2024-04-27,2024-04-28,7.76,5401969734561633,MC,3
295,1088,196,2025-01-06,2025-01-08,2025-01-09,6.87,4068841741574458,VS,3
296,923,540,2024-03-04,2024-03-07,2024-03-08,3.74,5239337776344549,MC,4
297,504,175,2024-11-03,2024-11-04,2024-11-05,10.65,4491890201095561,VS,3
298,234,786,2025-02-05,2025-02-09,2025-02-10,3.98,342863327004158,AX,3
299,930,193,2024-03-24,2024-03-30,2024-03-31,7.31,5565749071115740,MC,2
300,1126,488,2024-01-26,2024-01-28,2024-01-29,8.13,4670970950758147,VS,4
301,415,827,2024-09-24,2024-09-30,2024-10-01,4.38,375645471462700,AX,4
302,907,838,2024-11-07,2024-11-12,2024-11-13,3.85,370273079862612,AX,5
303,1158,1125,2025-05-11,2025-05-15,2025-05-16,4.84,5269858618728853,MC,1
304,57,874,2024-12-16,2024-12-19,2024-12-20,9.87,374298749956376,AX,1
305,793,891,2024-03-18,2024-03-21,2024-03-22,7.23,374761509374911,AX,2
306,1183,639,2025-04-26,2025-04-28,2025-04-29,8.92,4217934351593314,VS,3
307,32,954,2024-12-19,2024-12-22,2024-12-23,7.96,378130746304153,AX,5
308,939,1008,2024-11-01,2024-11-04,2024-11-05,7.31,4404684648333620,VS,1
309,1091,320,2025-02-03,2025-02-04,2025-02-05,4.30,4937311784054207,VS,1
310,509,595,2024-03-07,2024-03-11,2024-03-12,7.21,373088305862088,AX,5
311,1196,499,2024-08-18,2024-08-19,2024-08-20,5.62,4255242151532019,VS,1
312,573,784,2024-11-01,2024-11-03,2024-11-04,6.46,4838144505020955,VS,4
313,890,1189,2024-05-14,2024-05-20,2024-05-21,9.49,377179894297547,AX,1
314,827,227,2024-10-30,2024-11-04,2024-11-05,9.30,4141156288138698,VS,1
315,545,743,2024-12-06,2024-12-09,2024-12-10,7.61,4589131315857221,VS,2
316,315,429,2025-04-01,2025-04-02,2025-04-03,6.56,5577368381688879,MC,4
317,725,492,2024-10-16,2024-10-22,2024-10-23,8.57,379747624333135,AX,2
318,305,143,2024-03-07,2024-03-12,2024-03-13,8.76,4706239354642314,VS,2
319,1063,707,2024-02-07,2024-02-08,2024-02-09,5.88,5550153148901186,MC,1
320,625,705,2025-06-13,2025-06-18,2025-06-19,9.19,346587980671344,AX,5
321,100,1070,2024-02-15,2024-02-19,2024-02-20,8.28,4144797938591292,VS,2
322,964,122,2024-02-13,2024-02-15,2024-02-16,5.09,5451306229736502,MC,4
